,Mean Freq,Thuc_Book1,Aesch_Ag,Aesch_Cho,Aesch_Eumen,Aesch_Pers,Aesch_PromV,Aesch_Septem,Aesch_Supp,Athenaeus_Book12,Athenaeus_Book13,DioSic_Book11,Hdt_Book1,Hesiod_Theog,Hesiod_Works,Homer_Iliad,HomerJr_Odyssey,Lysias_Orat1,Lysias_Orat14,Plato_Euth,Plut_Lyc,Polybius_Book1,Soph_Ajax,Soph_Antig,Soph_Elec,Soph_OT,Soph_Trach
adv-obj-pred-root,0.191,0.131195335,0.244748113,0.32046391,0.172413793,0.079744817,0.269198073,0.080231065,0.23533367,0.305436775,0.355843745,0.12806147,0.331049703,0,0.100850022,0.108077406,0.082760094,0,0.035701535,0.14761358,0.326858424,0.116739776,0.390542537,0.25139984,0.209743541,0.295037997,0.24926354
obj-pred-co-coord-coord-root,0.172,0.145772595,0.061187028,0.030520372,0.047021944,0.175438596,0.085009918,0.016046213,0.050428643,0.096721645,0.083030207,0.224107572,0.183916502,0.320750062,0.561878692,0.140421739,0.195776566,0.352858151,0.249910746,0.262424143,0.112065745,0.159190604,0.179438463,0.262827105,0.200209744,0.11622709,0.169952413
sbj-adv-auxc-pred-root,0.166,0.116618076,0.142769733,0.137341676,0.188087774,0.14354067,0.070841598,0.096277279,0.184905026,0.290164936,0.399335758,0.12806147,0.23449354,0.049346163,0.07203573,0.105710747,0.145942531,0.211714891,0.249910746,0.114810563,0.205453866,0.095514363,0.126662445,0.12569992,0.257412527,0.23245418,0.192612735
sbj-co-coord-pred-co-coord-root,0.109,0.153061224,0.040791352,0.091561117,0.109717868,0.271132376,0.028336639,0,0.067238191,0.066177968,0.039538194,0.240115255,0.091958251,0.493461633,0.187292897,0.242188055,0.196666459,0,0,0.082007545,0.121404557,0.045988397,0.042220815,0.045709062,0,0.053643272,0.113301609
auxx-adv-pred-co-coord-root,0.155,0.065597668,0.234550275,0.167862048,0.156739812,0.271132376,0.099178237,0.256739409,0.15128593,0.03563429,0.06326111,0.256122939,0.262081015,0.185048113,0.432214378,0.101766316,0.238491453,0.035285815,0.107104605,0.032803018,0.093388121,0.127352483,0.274435297,0.148554451,0.076270378,0.044702727,0.101971448
auxg-coord-root,0.030,0.051020408,0,0,0,0,0,0,0,0.020362452,0.015815278,0,0.0367833,0.024673082,0,0.060744235,0.564192466,0,0,0,0,0,0.010555204,0,0,0,0
sbj-obj-pred-root,0.185,0.094752187,0.173363247,0.106821303,0.203761755,0.04784689,0.170019836,0.192554557,0.050428643,0.43779271,0.45468923,0.224107572,0.285070578,0,0.086442876,0.082833048,0.073861159,0.423429781,0.321313816,0.114810563,0.345536048,0.113202207,0.253324889,0.182836247,0.085804176,0.125167635,0.147292092
sbj-exd-pred-co-coord-root,0.161,0,0.203956761,0.183122234,0.219435737,0.271132376,0.085009918,0.353016688,0.218524122,0,0,0,0,0.222057735,0.763578735,0.17513273,0.18420795,0,0,0.31162867,0,0,0.094996833,0.228545309,0.295547717,0.214573089,0.158622252
obj-obj-pred-co-coord-root,0.130,0.094752187,0.152967571,0.183122234,0.078369906,0.14354067,0.226693114,0.160462131,0.067238191,0.086540419,0.102799304,0.144069153,0.133339464,0.086355786,0.129664313,0.187754909,0.171749442,0.14114326,0.107104605,0.229621125,0.093388121,0.067213811,0.168883259,0.091418124,0.10487177,0.098345999,0.135961931
adv-coord-root,0.133,0.225947522,0.091780543,0.045780559,0.062695925,0.09569378,0.155851516,0.064184852,0.067238191,0.106902871,0.098845485,0.208099888,0.206906065,0.024673082,0.216107189,0.112810723,0.164630294,0.105857445,0.178507676,0.082007545,0.168098618,0.325456346,0.010555204,0.137127185,0.14300696,0.11622709,0.237933379
atr-adv-pred-co-coord-root,0.125,0.116618076,0.163165409,0.106821303,0.235109718,0.23923445,0.170019836,0.176508344,0.134476383,0.111993484,0.047445833,0.160076837,0.114947814,0.197384653,0.201700043,0.206688177,0.139713276,0.105857445,0,0.065606036,0.028016436,0.084901656,0.147772852,0.079990858,0.057202784,0.089405454,0.079311126
auxy-coord-pred-co-coord-root,0.106,0.204081633,0.05098919,0.045780559,0.062695925,0.09569378,0.028336639,0.048138639,0.033619096,0.076359194,0.035584375,0.096046102,0.110349901,0.629163583,0.302550065,0.19169934,0.199336139,0.035285815,0.107104605,0.082007545,0.112065745,0.045988397,0.021110407,0.034281796,0.019067595,0.053643272,0.033990483
