489,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
506,0,6.16E-112,0,1.02E-76,1.53E-272,3.10E-09,0,0.999999997,0,1.02E-272,6.33E-227,2.35E-131
507,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
508,4.19E-52,7.24E-20,1.92E-99,1,1.77E-40,7.45E-32,1.14E-201,3.83E-56,1.09E-40,7.23E-42,2.04E-54,1.19E-10
509,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
510,4.20E-119,3.48E-32,2.33E-20,8.05E-21,3.15E-69,2.41E-68,7.89E-75,2.48E-63,1,2.69E-16,2.63E-59,4.40E-32
511,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
512,2.63E-183,1.46E-44,1.33E-47,1.15E-16,1.17E-109,1.52E-41,1.19E-141,4.90E-36,2.20E-72,2.81E-65,1.73E-122,1
513,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
514,7.28E-27,0.999999999,1.13E-47,7.03E-18,1.70E-34,2.57E-43,3.24E-54,4.05E-39,3.30E-16,1.18E-09,4.47E-20,4.74E-23
515,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
516,1.26E-137,4.76E-27,1.27E-47,1,1.23E-114,3.67E-42,7.77E-123,1.32E-39,1.89E-84,8.55E-23,6.84E-97,3.52E-42
517,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
518,8.81E-56,2.01E-223,0,2.07E-143,9.59E-43,0.071930798,0,0.928069202,0,3.53E-239,6.42E-91,6.44E-197
519,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
520,6.94E-137,8.16E-49,2.10E-85,1,1.06E-98,8.54E-20,1.14E-172,9.33E-31,9.99E-136,6.37E-86,7.85E-95,2.35E-63
521,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
522,3.10E-34,1,3.86E-127,1.08E-22,7.61E-37,6.99E-44,2.32E-143,1.65E-36,7.06E-120,2.08E-76,2.31E-20,1.44E-111
523,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
524,0.996727155,6.27E-49,8.46E-234,5.57E-252,7.80E-27,1.80E-11,1.18E-74,0.003193211,0,6.47E-178,7.96E-05,0
525,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
526,1.29E-42,0.004061767,6.10E-40,1.99E-14,4.48E-82,1.89E-54,8.29E-32,8.67E-59,0.994266765,0.001671468,2.23E-24,4.61E-33
527,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
528,2.08E-162,7.62E-103,1,4.09E-44,1.85E-84,1.06E-95,2.98E-194,2.34E-125,3.56E-54,1.09E-30,6.37E-149,4.39E-52
529,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
530,3.66E-102,1.28E-93,2.22E-63,0.999999994,1.32E-61,1.31E-24,2.33E-141,1.11E-20,4.35E-93,1.22E-66,3.35E-83,5.92E-09
531,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
532,1,2.83E-42,4.61E-299,4.10E-169,7.42E-38,8.35E-48,4.55E-169,2.86E-41,0,2.04E-193,4.70E-10,0
533,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
534,6.78E-76,1.94E-26,6.69E-22,1.49E-13,8.15E-33,5.35E-39,1.73E-78,2.48E-31,0.024788117,1.44E-21,3.03E-44,0.975211883
