"","V1","V5","V10","V3","V12","V9","V11","V7","V8","V2","V13","V4","V6"
"1701",2047,"Diodorus","Thucydides","Hdt","Polybius","Hesiod","Plutarch","Iliad","Athenaeus","Odyssey","Sophocles","Aeschylus","Lysias"
"1702",2048,"0.999705766","0.000186166","0.000108069","2.06e-19","4.46e-33","1.09e-38","1.32e-44","8.55e-71","2.76e-72","1.74e-87","1.67e-98","0"
"1703",2049,"Athenaeus","Sophocles","Hdt","Aeschylus","Hesiod","Odyssey","Plutarch","Iliad","Polybius","Diodorus","Thucydides","Lysias"
"1704",2050,"1","4.59e-20","2.47e-24","3.24e-32","5.83e-35","2.21e-35","6.64e-40","3.85e-43","6.71e-67","5.14e-121","1.3e-139","0"
"1705",2051,"Athenaeus","Hdt","Plutarch","Sophocles","Polybius","Iliad","Odyssey","Aeschylus","Hesiod","Thucydides","Diodorus","Lysias"
"1706",2052,"1","3e-24","4.78e-47","1.15e-63","4.96e-68","8.54e-69","3.23e-70","1.07e-80","2.54e-86","6.52e-144","4.69e-161","0"
"1707",2053,"Aeschylus","Hesiod","Odyssey","Iliad","Sophocles","Athenaeus","Hdt","Polybius","Diodorus","Lysias","Plutarch","Thucydides"
"1708",2054,"0.983046916","0.016953084","2.95e-19","8.76e-28","1.02e-42","7.32e-100","5.53e-118","6.46e-307","0","0","0","0"
"1709",2055,"Odyssey","Hdt","Thucydides","Athenaeus","Iliad","Plutarch","Polybius","Sophocles","Hesiod","Aeschylus","Diodorus","Lysias"
"1710",2056,"0.600869922","0.393560085","0.005568934","1.06e-06","1.69e-11","2.56e-22","6.73e-30","5.79e-31","8.81e-36","6.23e-53","3.29e-127","2.31e-292"
"1711",2057,"Iliad","Odyssey","Hdt","Athenaeus","Hesiod","Polybius","Sophocles","Thucydides","Aeschylus","Plutarch","Diodorus","Lysias"
"1712",2058,"0.975561747","0.024438253","6.91e-75","2.66e-106","4.83e-172","4.32e-184","1.4e-187","1.7e-207","9.26e-247","4.77e-270","0","0"
"1713",2059,"Aeschylus","Sophocles","Hesiod","Odyssey","Iliad","Athenaeus","Hdt","Polybius","Plutarch","Diodorus","Lysias","Thucydides"
"1714",2060,"1","2.17e-12","8.04e-30","5.14e-32","2.99e-42","4.11e-45","9.42e-120","8.57e-187","9.66e-197","0","0","0"
"1715",2061,"Diodorus","Polybius","Hdt","Thucydides","Plutarch","Hesiod","Athenaeus","Iliad","Sophocles","Odyssey","Aeschylus","Lysias"
"1716",2062,"1","2.38e-35","4.5e-36","2.73e-71","1.89e-84","3.2e-109","7.71e-115","1.07e-140","1.63e-166","2.07e-197","3.17e-232","0"
"1717",2063,"Hesiod","Odyssey","Sophocles","Aeschylus","Iliad","Hdt","Athenaeus","Polybius","Thucydides","Diodorus","Lysias","Plutarch"
"1718",2064,"1","2.38e-20","1.11e-23","1.3e-35","1.06e-37","6.64e-81","8.25e-132","1.59e-207","3.74e-300","0","0","0"
"1719",2065,"Odyssey","Iliad","Aeschylus","Hdt","Athenaeus","Diodorus","Thucydides","Polybius","Hesiod","Lysias","Plutarch","Sophocles"
"1720",2066,"0.999960969","3.9e-05","1.1e-49","9.18e-103","8.42e-149","4.12e-230","2.37e-230","7.3e-282","0","0","0","0"
"1721",2067,"Iliad","Odyssey","Hesiod","Aeschylus","Sophocles","Hdt","Athenaeus","Thucydides","Diodorus","Polybius","Lysias","Plutarch"
"1722",2068,"1","5.12e-13","2.19e-23","1.55e-55","9.96e-60","2.35e-114","3.46e-130","1.65e-171","1.11e-183","9.39e-262","0","0"
"1723",2069,"Athenaeus","Hdt","Aeschylus","Plutarch","Sophocles","Polybius","Iliad","Hesiod","Odyssey","Thucydides","Diodorus","Lysias"
"1724",2070,"1","1.25e-13","5.17e-41","7.13e-42","3.67e-57","1.97e-62","2.54e-70","1.44e-77","6.86e-86","2.58e-140","2.24e-151","0"
"1725",2071,"Diodorus","Polybius","Hdt","Plutarch","Thucydides","Athenaeus","Hesiod","Aeschylus","Iliad","Odyssey","Sophocles","Lysias"
"1726",2072,"1","5.84e-15","9.43e-25","4.54e-57","7.41e-61","7.26e-75","2.33e-79","5.52e-101","6.49e-107","3.13e-141","3.27e-151","0"
"1727",2073,"Diodorus","Plutarch","Hdt","Thucydides","Polybius","Iliad","Odyssey","Hesiod","Athenaeus","Sophocles","Aeschylus","Lysias"
"1728",2074,"1","4e-34","4e-55","1.48e-62","1.26e-101","7.21e-117","6.62e-149","7.67e-165","2.49e-195","3.74e-213","1.86e-260","0"
"1729",2075,"Aeschylus","Sophocles","Athenaeus","Odyssey","Hesiod","Iliad","Hdt","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"1730",2076,"0.995023308","0.004976692","3.47e-46","3.9e-90","1.01e-96","1.58e-121","3.11e-204","0","0","0","0","0"
"1731",2077,"Polybius","Athenaeus","Diodorus","Hdt","Plutarch","Sophocles","Iliad","Hesiod","Thucydides","Aeschylus","Lysias","Odyssey"
"1732",2078,"1","2.63e-36","1.34e-53","1.16e-55","2.92e-56","1.17e-78","6.18e-118","1.89e-135","4.65e-136","1.91e-192","1.01e-255","1.6e-269"
