"Homer_Iliad" "HomerJr_Odyssey"
"adv-adv-exd-pred-co-coord-root" 0.0299776745213433 0.00533936087850284
"adv-co-coord-adv-auxc-pred-root" 0.0110444064026002 0.0266968043925142
"auxz-obj-co-coord-pred-root" 0.0181443819471288 0.01868776307476
"pnom-adv-auxc-pred-root" 0.0220888128052003 0.0142382956760076
"adv-adv-coord-root" 0.0205110404619717 0.0151281891557581
"atr-exd-ap-exd-apos-pred-root" 0.0323443330361862 0.00177978695950095
"atr-obj-co-coord-adv-auxc-pred-root" 0.0165666096039003 0.0195776565545104
"coord-apos-pred-root" 0.0134110649174431 0.0231372304735123
"exd-co-coord-coord-root" 0.0205110404619717 0.0151281891557581
"adv-exd-pred-co-auxp-coord-root" 0.0102555202309859 0.0258069109127637
"auxp-exd-pred-co-coord-root" 0.029188788349729 0.00444946739875237
"sbj-co-exd-pred-co-coord-coord-root" 0.0149888372606717 0.0204675500342609
"adv-co-coord-coord-root" 0.0102555202309859 0.0249170174330133
"adv-co-coord-obj-pred-root" 0.0181443819471288 0.0160180826355085
"atr-sbj-adv-pred-co-coord-root" 0.0236665851484289 0.00978882827725521
"obj-sbj-pred-root" 0.0197221542903574 0.0142382956760076
"pnom-co-coord-pred-co-coord-root" 0.0173554957755146 0.016907976115259
"atr-obj-atr-obj-pred-root" 0.021299926633586 0.0115686152367562
"atr-pnom-exd-pred-co-coord-root" 0.0126221787458288 0.0213574435140114
